Time (ns),IMSI,SrcCellId,RNTI,TrgtCellId,Type,
20214285,1,1,1,1,CONNECTION_ESTABLISHED_UE,
20214285,1,1,1,1,CONNECTION_ESTABLISHED_ENB,
36107568741,1,1,1,2,HANDOVER_TRIGGERED_ENB,
36107568902,1,1,1,2,HANDOVER_START_ENB,
36107568902,1,1,1,2,HANDOVER_START_UE,
36111214285,1,2,1,2,HANDOVER_OK_UE,
36111214484,1,2,1,2,HANDOVER_OK_ENB,
108660214285,1,1,2,1,CONNECTION_ESTABLISHED_UE,
108660214285,1,1,2,1,CONNECTION_ESTABLISHED_ENB,
110122937735,1,1,2,2,HANDOVER_TRIGGERED_ENB,
110122937896,1,1,2,2,HANDOVER_START_ENB,
110122937896,1,1,2,2,HANDOVER_START_UE,
110126214285,1,2,2,2,HANDOVER_OK_UE,
110126214484,1,2,2,2,HANDOVER_OK_ENB,
134020214285,1,1,3,1,CONNECTION_ESTABLISHED_UE,
134020214285,1,1,3,1,CONNECTION_ESTABLISHED_ENB,
135119620804,1,1,3,65535,HANDOVER_TRIGGERED_ENB,
135119620804,1,1,3,65535,HANDOVER_CANCELLED_RIC,
167460214285,1,2,3,2,CONNECTION_ESTABLISHED_UE,
167460214285,1,2,3,2,CONNECTION_ESTABLISHED_ENB,
237220214285,1,1,4,1,CONNECTION_ESTABLISHED_UE,
237220214285,1,1,4,1,CONNECTION_ESTABLISHED_ENB,
238111976509,1,1,4,2,HANDOVER_TRIGGERED_ENB,
238111976670,1,1,4,2,HANDOVER_START_ENB,
238111976670,1,1,4,2,HANDOVER_START_UE,
238115214285,1,2,4,2,HANDOVER_OK_UE,
238115214484,1,2,4,2,HANDOVER_OK_ENB,
240420214285,1,1,5,1,CONNECTION_ESTABLISHED_UE,
240420214285,1,1,5,1,CONNECTION_ESTABLISHED_ENB,
242111957391,1,1,5,65535,HANDOVER_TRIGGERED_ENB,
242111957391,1,1,5,65535,HANDOVER_CANCELLED_RIC,
255220214285,1,2,5,2,CONNECTION_ESTABLISHED_UE,
255220214285,1,2,5,2,CONNECTION_ESTABLISHED_ENB,
260420214285,1,1,6,1,CONNECTION_ESTABLISHED_UE,
260420214285,1,1,6,1,CONNECTION_ESTABLISHED_ENB,
262114898848,1,1,6,2,HANDOVER_TRIGGERED_ENB,
262114899009,1,1,6,2,HANDOVER_START_ENB,
262114899009,1,1,6,2,HANDOVER_START_UE,
262118214285,1,2,6,2,HANDOVER_OK_UE,
262118214484,1,2,6,2,HANDOVER_OK_ENB,
264420214285,1,1,7,1,CONNECTION_ESTABLISHED_UE,
264420214285,1,1,7,1,CONNECTION_ESTABLISHED_ENB,
266108210877,1,1,7,65535,HANDOVER_TRIGGERED_ENB,
266108210877,1,1,7,65535,HANDOVER_CANCELLED_RIC,
317460214285,1,2,7,2,CONNECTION_ESTABLISHED_UE,
317460214285,1,2,7,2,CONNECTION_ESTABLISHED_ENB,
398260214285,1,1,8,1,CONNECTION_ESTABLISHED_UE,
398260214285,1,1,8,1,CONNECTION_ESTABLISHED_ENB,
399107489104,1,1,8,2,HANDOVER_TRIGGERED_ENB,
399107489265,1,1,8,2,HANDOVER_START_ENB,
399107489265,1,1,8,2,HANDOVER_START_UE,
399111214285,1,2,8,2,HANDOVER_OK_UE,
399111214484,1,2,8,2,HANDOVER_OK_ENB,
418020214285,1,1,9,1,CONNECTION_ESTABLISHED_UE,
418020214285,1,1,9,1,CONNECTION_ESTABLISHED_ENB,
419112334540,1,1,9,65535,HANDOVER_TRIGGERED_ENB,
419112334540,1,1,9,65535,HANDOVER_CANCELLED_RIC,
483460214285,1,2,9,2,CONNECTION_ESTABLISHED_UE,
483460214285,1,2,9,2,CONNECTION_ESTABLISHED_ENB,
546420214285,1,1,10,1,CONNECTION_ESTABLISHED_UE,
546420214285,1,1,10,1,CONNECTION_ESTABLISHED_ENB,
548145873398,1,1,10,2,HANDOVER_TRIGGERED_ENB,
548145873559,1,1,10,2,HANDOVER_START_ENB,
548145873559,1,1,10,2,HANDOVER_START_UE,
548149214285,1,2,10,2,HANDOVER_OK_UE,
548149214484,1,2,10,2,HANDOVER_OK_ENB,
574420214285,1,1,11,1,CONNECTION_ESTABLISHED_UE,
574420214285,1,1,11,1,CONNECTION_ESTABLISHED_ENB,
576108976880,1,1,11,65535,HANDOVER_TRIGGERED_ENB,
576108976880,1,1,11,65535,HANDOVER_CANCELLED_RIC,
