Time (ns),IMSI,SrcCellId,RNTI,TrgtCellId,Type,
20214285,1,1,1,1,CONNECTION_ESTABLISHED_UE,
20214285,1,1,1,1,CONNECTION_ESTABLISHED_ENB,
50040001000,1,1,1,2,HANDOVER_TRIGGERED_ENB,
52390001000,1,1,1,2,HANDOVER_CANCELLED_RIC,
52390001000,1,1,1,2,HANDOVER_TRIGGERED_ENB,
52400001000,1,1,1,2,HANDOVER_CANCELLED_RIC,
52400001000,1,1,1,2,HANDOVER_TRIGGERED_ENB,
52410001000,1,1,1,2,HANDOVER_CANCELLED_RIC,
52410001000,1,1,1,2,HANDOVER_TRIGGERED_ENB,
52420001000,1,1,1,2,HANDOVER_CANCELLED_RIC,
52420001000,1,1,1,2,HANDOVER_TRIGGERED_ENB,
52430001000,1,1,1,2,HANDOVER_CANCELLED_RIC,
52430001000,1,1,1,2,HANDOVER_TRIGGERED_ENB,
52440001000,1,1,1,2,HANDOVER_CANCELLED_RIC,
52440001000,1,1,1,2,HANDOVER_TRIGGERED_ENB,
52450001000,1,1,1,2,HANDOVER_CANCELLED_RIC,
52450001000,1,1,1,2,HANDOVER_TRIGGERED_ENB,
52460001000,1,1,1,2,HANDOVER_CANCELLED_RIC,
52460001000,1,1,1,2,HANDOVER_TRIGGERED_ENB,
52470001000,1,1,1,2,HANDOVER_CANCELLED_RIC,
52470001000,1,1,1,2,HANDOVER_TRIGGERED_ENB,
52480001000,1,1,1,2,HANDOVER_CANCELLED_RIC,
52480001000,1,1,1,2,HANDOVER_TRIGGERED_ENB,
52490001000,1,1,1,2,HANDOVER_CANCELLED_RIC,
52680001000,1,1,1,2,HANDOVER_TRIGGERED_ENB,
52690001000,1,1,1,2,HANDOVER_CANCELLED_RIC,
52920001000,1,1,1,2,HANDOVER_TRIGGERED_ENB,
52930001000,1,1,1,2,HANDOVER_CANCELLED_RIC,
53160001000,1,1,1,2,HANDOVER_TRIGGERED_ENB,
53170001000,1,1,1,2,HANDOVER_CANCELLED_RIC,
53400001000,1,1,1,2,HANDOVER_TRIGGERED_ENB,
53410001000,1,1,1,2,HANDOVER_CANCELLED_RIC,
53640001000,1,1,1,2,HANDOVER_TRIGGERED_ENB,
53750001000,1,1,1,2,HANDOVER_CANCELLED_RIC,
53880001000,1,1,1,2,HANDOVER_TRIGGERED_ENB,
53970001000,1,1,1,2,HANDOVER_CANCELLED_RIC,
