TBS,MCS,bits/symbol,code rate,num,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132
0,0,2,1/3,A,448.0,896,1344,1792,2240,2688,3136,3584,4032,4480,4928,5376,5824,6272,6720,7168,7616,8064,8512,8960,9408,9856,10304,10752,11200,11648,12096,12544,12992,13440,13888,14336,14784,15232,15680,16128,16576,17024,17472,17920,18368,18816,19264,19712,20160,20608,21056,21504,21952,22400,22848,23296,23744,24192,24640,25088,25536,25984,26432,26880,27328,27776,28224,28672,29120,29568,30016,30464,30912,31360,31808,32256,32704,33152,33600,34048,34496,34944,35392,35840,36288,36736,37184,37632,38080,38528,38976,39424,39872,40320,40768,41216,41664,42112,42560,43008,43456,43904,44352,44800,45248,45696,46144,46592,47040,47488,47936,48384,48832,49280,49728,50176,50624,51072,51520,51968,52416,52864,53312,53760,54208,54656,55104,55552,56000,56448,56896,57344,57792,58240,58688,59136
2,0,2,1/3,B,480.0,960,1440,1920,2400,2880,3360,3840,4320,4800,5280,5760,6240,6720,7200,7680,8160,8640,9120,9600,10080,10560,11040,11520,12000,12480,12960,13440,13920,14400,14880,15360,15840,16320,16800,17280,17760,18240,18720,19200,19680,20160,20640,21120,21600,22080,22560,23040,23520,24000,24480,24960,25440,25920,26400,26880,27360,27840,28320,28800,29280,29760,30240,30720,31200,31680,32160,32640,33120,33600,34080,34560,35040,35520,36000,36480,36960,37440,37920,38400,38880,39360,39840,40320,40800,41280,41760,42240,42720,43200,43680,44160,44640,45120,45600,46080,46560,47040,47520,48000,48480,48960,49440,49920,50400,50880,51360,51840,52320,52800,53280,53760,54240,54720,55200,55680,56160,56640,57120,57600,58080,58560,59040,59520,60000,60480,60960,61440,61920,62400,62880,63360
1,0,2,1/3,C,490.0,980,1470,1960,2450,2940,3430,3920,4410,4900,5390,5880,6370,6860,7350,7840,8330,8820,9310,9800,10290,10780,11270,11760,12250,12740,13230,13720,14210,14700,15190,15680,16170,16660,17150,17640,18130,18620,19110,19600,20090,20580,21070,21560,22050,22540,23030,23520,24010,24500,24990,25480,25970,26460,26950,27440,27930,28420,28910,29400,29890,30380,30870,31360,31850,32340,32830,33320,33810,34300,34790,35280,35770,36260,36750,37240,37730,38220,38710,39200,39690,40180,40670,41160,41650,42140,42630,43120,43610,44100,44590,45080,45570,46060,46550,47040,47530,48020,48510,49000,49490,49980,50470,50960,51450,51940,52430,52920,53410,53900,54390,54880,55370,55860,56350,56840,57330,57820,58310,58800,59290,59780,60270,60760,61250,61740,62230,62720,63210,63700,64190,64680
3,1,2,1/2,A,672.0,1344,2016,2688,3360,4032,4704,5376,6048,6720,7392,8064,8736,9408,10080,10752,11424,12096,12768,13440,14112,14784,15456,16128,16800,17472,18144,18816,19488,20160,20832,21504,22176,22848,23520,24192,24864,25536,26208,26880,27552,28224,28896,29568,30240,30912,31584,32256,32928,33600,34272,34944,35616,36288,36960,37632,38304,38976,39648,40320,40992,41664,42336,43008,43680,44352,45024,45696,46368,47040,47712,48384,49056,49728,50400,51072,51744,52416,53088,53760,54432,55104,55776,56448,57120,57792,58464,59136,59808,60480,61152,61824,62496,63168,63840,64512,65184,65856,66528,67200,67872,68544,69216,69888,70560,71232,71904,72576,73248,73920,74592,75264,75936,76608,77280,77952,78624,79296,79968,80640,81312,81984,82656,83328,84000,84672,85344,86016,86688,87360,88032,88704
5,1,2,1/2,B,720.0,1440,2160,2880,3600,4320,5040,5760,6480,7200,7920,8640,9360,10080,10800,11520,12240,12960,13680,14400,15120,15840,16560,17280,18000,18720,19440,20160,20880,21600,22320,23040,23760,24480,25200,25920,26640,27360,28080,28800,29520,30240,30960,31680,32400,33120,33840,34560,35280,36000,36720,37440,38160,38880,39600,40320,41040,41760,42480,43200,43920,44640,45360,46080,46800,47520,48240,48960,49680,50400,51120,51840,52560,53280,54000,54720,55440,56160,56880,57600,58320,59040,59760,60480,61200,61920,62640,63360,64080,64800,65520,66240,66960,67680,68400,69120,69840,70560,71280,72000,72720,73440,74160,74880,75600,76320,77040,77760,78480,79200,79920,80640,81360,82080,82800,83520,84240,84960,85680,86400,87120,87840,88560,89280,90000,90720,91440,92160,92880,93600,94320,95040
4,1,2,1/2,C,736.0,1472,2208,2944,3680,4416,5152,5888,6624,7360,8096,8832,9568,10304,11040,11776,12512,13248,13984,14720,15456,16192,16928,17664,18400,19136,19872,20608,21344,22080,22816,23552,24288,25024,25760,26496,27232,27968,28704,29440,30176,30912,31648,32384,33120,33856,34592,35328,36064,36800,37536,38272,39008,39744,40480,41216,41952,42688,43424,44160,44896,45632,46368,47104,47840,48576,49312,50048,50784,51520,52256,52992,53728,54464,55200,55936,56672,57408,58144,58880,59616,60352,61088,61824,62560,63296,64032,64768,65504,66240,66976,67712,68448,69184,69920,70656,71392,72128,72864,73600,74336,75072,75808,76544,77280,78016,78752,79488,80224,80960,81696,82432,83168,83904,84640,85376,86112,86848,87584,88320,89056,89792,90528,91264,92000,92736,93472,94208,94944,95680,96416,97152
6,2,2,2/3,A,896.0,1792,2688,3584,4480,5376,6272,7168,8064,8960,9856,10752,11648,12544,13440,14336,15232,16128,17024,17920,18816,19712,20608,21504,22400,23296,24192,25088,25984,26880,27776,28672,29568,30464,31360,32256,33152,34048,34944,35840,36736,37632,38528,39424,40320,41216,42112,43008,43904,44800,45696,46592,47488,48384,49280,50176,51072,51968,52864,53760,54656,55552,56448,57344,58240,59136,60032,60928,61824,62720,63616,64512,65408,66304,67200,68096,68992,69888,70784,71680,72576,73472,74368,75264,76160,77056,77952,78848,79744,80640,81536,82432,83328,84224,85120,86016,86912,87808,88704,89600,90496,91392,92288,93184,94080,94976,95872,96768,97664,98560,99456,100352,101248,102144,103040,103936,104832,105728,106624,107520,108416,109312,110208,111104,112000,112896,113792,114688,115584,116480,117376,118272
8,2,2,2/3,B,960.0,1920,2880,3840,4800,5760,6720,7680,8640,9600,10560,11520,12480,13440,14400,15360,16320,17280,18240,19200,20160,21120,22080,23040,24000,24960,25920,26880,27840,28800,29760,30720,31680,32640,33600,34560,35520,36480,37440,38400,39360,40320,41280,42240,43200,44160,45120,46080,47040,48000,48960,49920,50880,51840,52800,53760,54720,55680,56640,57600,58560,59520,60480,61440,62400,63360,64320,65280,66240,67200,68160,69120,70080,71040,72000,72960,73920,74880,75840,76800,77760,78720,79680,80640,81600,82560,83520,84480,85440,86400,87360,88320,89280,90240,91200,92160,93120,94080,95040,96000,96960,97920,98880,99840,100800,101760,102720,103680,104640,105600,106560,107520,108480,109440,110400,111360,112320,113280,114240,115200,116160,117120,118080,119040,120000,120960,121920,122880,123840,124800,125760,126720
7,2,2,2/3,C,981.0,1962,2943,3924,4905,5886,6867,7848,8829,9810,10791,11772,12753,13734,14715,15696,16677,17658,18639,19620,20601,21582,22563,23544,24525,25506,26487,27468,28449,29430,30411,31392,32373,33354,34335,35316,36297,37278,38259,39240,40221,41202,42183,43164,44145,45126,46107,47088,48069,49050,50031,51012,51993,52974,53955,54936,55917,56898,57879,58860,59841,60822,61803,62784,63765,64746,65727,66708,67689,68670,69651,70632,71613,72594,73575,74556,75537,76518,77499,78480,79461,80442,81423,82404,83385,84366,85347,86328,87309,88290,89271,90252,91233,92214,93195,94176,95157,96138,97119,98100,99081,100062,101043,102024,103005,103986,104967,105948,106929,107910,108891,109872,110853,111834,112815,113796,114777,115758,116739,117720,118701,119682,120663,121644,122625,123606,124587,125568,126549,127530,128511,129492
9,3,2,3/4,A,1008.0,2016,3024,4032,5040,6048,7056,8064,9072,10080,11088,12096,13104,14112,15120,16128,17136,18144,19152,20160,21168,22176,23184,24192,25200,26208,27216,28224,29232,30240,31248,32256,33264,34272,35280,36288,37296,38304,39312,40320,41328,42336,43344,44352,45360,46368,47376,48384,49392,50400,51408,52416,53424,54432,55440,56448,57456,58464,59472,60480,61488,62496,63504,64512,65520,66528,67536,68544,69552,70560,71568,72576,73584,74592,75600,76608,77616,78624,79632,80640,81648,82656,83664,84672,85680,86688,87696,88704,89712,90720,91728,92736,93744,94752,95760,96768,97776,98784,99792,100800,101808,102816,103824,104832,105840,106848,107856,108864,109872,110880,111888,112896,113904,114912,115920,116928,117936,118944,119952,120960,121968,122976,123984,124992,126000,127008,128016,129024,130032,131040,132048,133056
