Time (ns),IMSI,SrcCellId,RNTI,TrgtCellId,Type,
20214285,1,1,1,1,CONNECTION_ESTABLISHED_UE,
20214285,1,1,1,1,CONNECTION_ESTABLISHED_ENB,
24880001000,1,1,1,2,HANDOVER_TRIGGERED_ENB,
24890001161,1,1,1,2,HANDOVER_START_ENB,
24890001161,1,1,1,2,HANDOVER_START_UE,
24894214285,1,2,1,2,HANDOVER_OK_UE,
24894214484,1,2,1,2,HANDOVER_OK_ENB,
100000001000,1,2,1,1,HANDOVER_TRIGGERED_ENB,
100010001161,1,2,1,1,HANDOVER_START_ENB,
100010001161,1,2,1,1,HANDOVER_START_UE,
100014214285,1,1,2,1,HANDOVER_OK_UE,
100014214484,1,1,2,1,HANDOVER_OK_ENB,
174640001000,1,1,2,2,HANDOVER_TRIGGERED_ENB,
174650001161,1,1,2,2,HANDOVER_START_ENB,
174650001161,1,1,2,2,HANDOVER_START_UE,
174654214285,1,2,2,2,HANDOVER_OK_UE,
174654214484,1,2,2,2,HANDOVER_OK_ENB,
249760001000,1,2,2,1,HANDOVER_TRIGGERED_ENB,
249770001161,1,2,2,1,HANDOVER_START_ENB,
249770001161,1,2,2,1,HANDOVER_START_UE,
249774214285,1,1,3,1,HANDOVER_OK_UE,
249774214484,1,1,3,1,HANDOVER_OK_ENB,
324880001000,1,1,3,2,HANDOVER_TRIGGERED_ENB,
324890001161,1,1,3,2,HANDOVER_START_ENB,
324890001161,1,1,3,2,HANDOVER_START_UE,
324894214285,1,2,3,2,HANDOVER_OK_UE,
324894214484,1,2,3,2,HANDOVER_OK_ENB,
400000001000,1,2,3,1,HANDOVER_TRIGGERED_ENB,
400010001161,1,2,3,1,HANDOVER_START_ENB,
400010001161,1,2,3,1,HANDOVER_START_UE,
400014214285,1,1,4,1,HANDOVER_OK_UE,
400014214484,1,1,4,1,HANDOVER_OK_ENB,
474640001000,1,1,4,2,HANDOVER_TRIGGERED_ENB,
474650001161,1,1,4,2,HANDOVER_START_ENB,
474650001161,1,1,4,2,HANDOVER_START_UE,
474654214285,1,2,4,2,HANDOVER_OK_UE,
474654214484,1,2,4,2,HANDOVER_OK_ENB,
549760001000,1,2,4,1,HANDOVER_TRIGGERED_ENB,
549770001161,1,2,4,1,HANDOVER_START_ENB,
549770001161,1,2,4,1,HANDOVER_START_UE,
549774214285,1,1,5,1,HANDOVER_OK_UE,
549774214484,1,1,5,1,HANDOVER_OK_ENB,
