Time (ns),IMSI,SrcCellId,RNTI,TrgtCellId,Type,
20214285,1,1,1,1,CONNECTION_ESTABLISHED_UE,
20214285,1,1,1,1,CONNECTION_ESTABLISHED_ENB,
24880001161,1,1,1,2,HANDOVER_START_ENB,
24880001161,1,1,1,2,HANDOVER_START_UE,
24884214285,1,2,1,2,HANDOVER_OK_UE,
24884214484,1,2,1,2,HANDOVER_OK_ENB,
100000001161,1,2,1,1,HANDOVER_START_ENB,
100000001161,1,2,1,1,HANDOVER_START_UE,
100004214285,1,1,2,1,HANDOVER_OK_UE,
100004214484,1,1,2,1,HANDOVER_OK_ENB,
174640001161,1,1,2,2,HANDOVER_START_ENB,
174640001161,1,1,2,2,HANDOVER_START_UE,
174644214285,1,2,2,2,HANDOVER_OK_UE,
174644214484,1,2,2,2,HANDOVER_OK_ENB,
249760001161,1,2,2,1,HANDOVER_START_ENB,
249760001161,1,2,2,1,HANDOVER_START_UE,
249764214285,1,1,3,1,HANDOVER_OK_UE,
249764214484,1,1,3,1,HANDOVER_OK_ENB,
324880001161,1,1,3,2,HANDOVER_START_ENB,
324880001161,1,1,3,2,HANDOVER_START_UE,
324884214285,1,2,3,2,HANDOVER_OK_UE,
324884214484,1,2,3,2,HANDOVER_OK_ENB,
400000001161,1,2,3,1,HANDOVER_START_ENB,
400000001161,1,2,3,1,HANDOVER_START_UE,
400004214285,1,1,4,1,HANDOVER_OK_UE,
400004214484,1,1,4,1,HANDOVER_OK_ENB,
474640001161,1,1,4,2,HANDOVER_START_ENB,
474640001161,1,1,4,2,HANDOVER_START_UE,
474644214285,1,2,4,2,HANDOVER_OK_UE,
474644214484,1,2,4,2,HANDOVER_OK_ENB,
549760001161,1,2,4,1,HANDOVER_START_ENB,
549760001161,1,2,4,1,HANDOVER_START_UE,
549764214285,1,1,5,1,HANDOVER_OK_UE,
549764214484,1,1,5,1,HANDOVER_OK_ENB,
