Time (ns),IMSI,SrcCellId,RNTI,TrgtCellId,Type,
20214285,1,1,1,1,CONNECTION_ESTABLISHED_UE,
20214285,1,1,1,1,CONNECTION_ESTABLISHED_ENB,
19136389318,1,1,1,2,HANDOVER_TRIGGERED_ENB,
19136389479,1,1,1,2,HANDOVER_START_ENB,
19136389479,1,1,1,2,HANDOVER_START_UE,
19140214285,1,2,1,2,HANDOVER_OK_UE,
19140214484,1,2,1,2,HANDOVER_OK_ENB,
129860214285,1,1,2,1,CONNECTION_ESTABLISHED_UE,
129860214285,1,1,2,1,CONNECTION_ESTABLISHED_ENB,
130137543564,1,1,2,2,HANDOVER_TRIGGERED_ENB,
130137543725,1,1,2,2,HANDOVER_START_ENB,
130137543725,1,1,2,2,HANDOVER_START_UE,
130141214285,1,2,2,2,HANDOVER_OK_UE,
130141214484,1,2,2,2,HANDOVER_OK_ENB,
132420214285,1,1,3,1,CONNECTION_ESTABLISHED_UE,
132420214285,1,1,3,1,CONNECTION_ESTABLISHED_ENB,
133175780887,1,1,3,2,HANDOVER_TRIGGERED_ENB,
133175781048,1,1,3,2,HANDOVER_START_ENB,
133175781048,1,1,3,2,HANDOVER_START_UE,
133179214285,1,2,3,2,HANDOVER_OK_UE,
133179214484,1,2,3,2,HANDOVER_OK_ENB,
135460214285,1,1,4,1,CONNECTION_ESTABLISHED_UE,
135460214285,1,1,4,1,CONNECTION_ESTABLISHED_ENB,
194260214285,1,2,4,2,CONNECTION_ESTABLISHED_UE,
194260214285,1,2,4,2,CONNECTION_ESTABLISHED_ENB,
195230674761,1,2,4,1,HANDOVER_TRIGGERED_ENB,
195230674922,1,2,4,1,HANDOVER_START_ENB,
195230674922,1,2,4,1,HANDOVER_START_UE,
195234214285,1,1,5,1,HANDOVER_OK_UE,
195234214484,1,1,5,1,HANDOVER_OK_ENB,
197620214285,1,2,5,2,CONNECTION_ESTABLISHED_UE,
197620214285,1,2,5,2,CONNECTION_ESTABLISHED_ENB,
198249180360,1,2,5,1,HANDOVER_TRIGGERED_ENB,
198249180521,1,2,5,1,HANDOVER_START_ENB,
198249180521,1,2,5,1,HANDOVER_START_UE,
198253214285,1,1,6,1,HANDOVER_OK_UE,
198253214484,1,1,6,1,HANDOVER_OK_ENB,
200660214285,1,2,6,2,CONNECTION_ESTABLISHED_UE,
200660214285,1,2,6,2,CONNECTION_ESTABLISHED_ENB,
